city,z,x,y,band,codec,raw_band_bytes,unpredicted_compressed_bytes,delta_compressed_bytes,delta_ratio
madrid,18,128374,98843,C0,zstd3,262144,1071,978,268.04089979550105
madrid,18,128374,98843,C0,brotli5,262144,768,793,330.57250945775536
madrid,18,128374,98843,C1,gzip6,262144,1261,1162,225.59724612736662
madrid,18,128374,98843,C1,zstd3,262144,1117,1001,261.8821178821179
madrid,18,128374,98843,C1,brotli5,262144,814,792,330.989898989899
madrid,18,128374,98843,flags,gzip6,262144,3421,4177,62.75891788364855
madrid,18,128374,98843,flags,zstd3,262144,4122,5240,50.027480916030534
madrid,18,128374,98843,flags,brotli5,262144,2574,2813,93.19018841094916
madrid,18,128374,98843,provenance,gzip6,262144,3798,4708,55.68054375531011
madrid,18,128374,98843,provenance,zstd3,262144,3653,5050,51.90970297029703
madrid,18,128374,98843,provenance,brotli5,262144,3027,3649,71.83995615237052
madrid,18,128375,98843,G,gzip6,262144,20018,11137,23.53811618927898
madrid,18,128375,98843,G,zstd3,262144,25924,15378,17.046690076732997
madrid,18,128375,98843,G,brotli5,262144,17326,11779,22.25519993208252
madrid,18,128375,98843,B,gzip6,262144,3604,4324,60.62534690101758
madrid,18,128375,98843,B,zstd3,262144,3372,4152,63.13680154142582
madrid,18,128375,98843,B,brotli5,262144,2722,3441,76.1825050857309
madrid,18,128375,98843,C0,gzip6,262144,3545,1957,133.951967296883
madrid,18,128375,98843,C0,zstd3,262144,3211,1950,134.4328205128205
madrid,18,128375,98843,C0,brotli5,262144,2420,1539,170.33398310591292
madrid,18,128375,98843,C1,gzip6,262144,3959,1929,135.89631933644375
madrid,18,128375,98843,C1,zstd3,262144,3428,1890,138.7005291005291
madrid,18,128375,98843,C1,brotli5,262144,2653,1509,173.72034459907223
madrid,18,128375,98843,flags,gzip6,262144,2612,3170,82.69526813880127
madrid,18,128375,98843,flags,zstd3,262144,2854,3493,75.0483824792442
madrid,18,128375,98843,flags,brotli5,262144,1683,2144,122.26865671641791
madrid,18,128375,98843,provenance,gzip6,262144,3693,4394,59.65953573054165
madrid,18,128375,98843,provenance,zstd3,262144,2736,4598,57.012614180078295
madrid,18,128375,98843,provenance,brotli5,262144,2581,3546,73.92667794698252
madrid,18,128376,98843,G,gzip6,262144,18432,11963,21.912898102482654
madrid,18,128376,98843,G,zstd3,262144,27512,16264,16.11805213969503
madrid,18,128376,98843,G,brotli5,262144,16726,13037,20.10769348776559
madrid,18,128376,98843,B,gzip6,262144,2195,2731,95.98828268033687
madrid,18,128376,98843,B,zstd3,262144,2348,2306,113.67909800520381
madrid,18,128376,98843,B,brotli5,262144,1283,1831,143.16985253959584
madrid,18,128376,98843,C0,gzip6,262144,1108,927,282.78748651564183
madrid,18,128376,98843,C0,zstd3,262144,917,736,356.17391304347825
madrid,18,128376,98843,C0,brotli5,262144,690,563,465.61989342806396
madrid,18,128376,98843,C1,gzip6,262144,1127,949,276.231822971549
madrid,18,128376,98843,C1,zstd3,262144,943,703,372.8933143669986
madrid,18,128376,98843,C1,brotli5,262144,675,568,461.5211267605634
madrid,18,128376,98843,flags,gzip6,262144,1755,1978,132.52982810920122
madrid,18,128376,98843,flags,zstd3,262144,1775,1937,135.33505420753744
madrid,18,128376,98843,flags,brotli5,262144,971,1227,213.64629176854115
madrid,18,128376,98843,provenance,gzip6,262144,2240,2737,95.77785896967482
madrid,18,128376,98843,provenance,zstd3,262144,1894,2369,110.65597298438159
madrid,18,128376,98843,provenance,brotli5,262144,1218,1815,144.431955922865
madrid,18,128372,98844,G,gzip6,262144,13348,11719,22.369144124925334
madrid,18,128372,98844,G,zstd3,262144,22335,16606,15.78610140912923
madrid,18,128372,98844,G,brotli5,262144,12790,12815,20.456028092079595
madrid,18,128372,98844,B,gzip6,262144,2802,3305,79.31739788199697
madrid,18,128372,98844,B,zstd3,262144,2716,3185,82.30580847723705
madrid,18,128372,98844,B,brotli5,262144,2026,2469,106.17415957877684
madrid,18,128372,98844,C0,gzip6,262144,418,449,583.8396436525612
madrid,18,128372,98844,C0,zstd3,262144,207,241,1087.734439834025
madrid,18,128372,98844,C0,brotli5,262144,147,177,1481.0395480225989
madrid,18,128372,98844,C1,gzip6,262144,416,447,586.4519015659955
madrid,18,128372,98844,C1,zstd3,262144,199,238,1101.4453781512605
madrid,18,128372,98844,C1,brotli5,262144,144,175,1497.9657142857143
madrid,18,128372,98844,flags,gzip6,262144,2433,2618,100.13139801375095
madrid,18,128372,98844,flags,zstd3,262144,2204,2813,93.19018841094916
madrid,18,128372,98844,flags,brotli5,262144,1265,1797,145.87868670005565
madrid,18,128372,98844,provenance,gzip6,262144,2780,3243,80.83379586802343
